"tradicional1","gradonac1","gradonac99","ideologia2","ideologia3","ideologia4","grupo_representativo_12","grupo_representativo_13","grupo_representativo_14","grupo_representativo_15","grupo_representativo_16","grupo_representativo_17","grupo_representativo_198","grupo_representativo_199","grupo_representativo_22","grupo_representativo_23","grupo_representativo_24","grupo_representativo_25","grupo_representativo_26","grupo_representativo_298","grupo_representativo_299","part_alcaldia1","part_asamblea1","part_camara1","part_concejo1","part_gobernacion1","part_presidencia1","part_presidencia_1v1","part_presidencia_2v1","part_senado1","cluster"
-0.251058402845799,-0.842061647923596,-0.356835619803677,-0.295851167567107,-0.877289559800138,1.21436779662992,-0.14294241596341,-0.0885268447504976,-0.0949903248834593,-0.0575828205326538,-0.0441338832552883,-0.19902830962108,-0.484834771903,0.66159799862595,-0.0503350805096177,-0.0139441401083007,-0.0139441401083002,-0.0698839810942583,-0.0462925167860896,-1.20996616042911,1.24581518742836,-1.11212367048051,-0.307359426052487,-0.420539508185573,1.66432844127914,-0.237199171695887,8.97882186359085,10.3017083262461,-0.0418650000964487,-0.214864548670212,"1"
-0.251058402845799,-0.842061647923596,-0.356835619803677,-0.295851167567107,-0.877289559800138,1.21436779662992,-0.14294241596341,-0.0885268447504976,-0.0949903248834593,-0.0575828205326538,-0.0441338832552883,-0.19902830962108,-0.484834771903,0.66159799862595,-0.0503350805096177,-0.0139441401083007,-0.0139441401083002,-0.0698839810942583,-0.0462925167860896,-1.20996616042911,1.24581518742836,0.899005737846234,3.25288725905549,2.37743551199347,1.66432844127914,-0.237199171695887,-0.111351530985477,-0.0970524042511897,-0.0418650000964487,4.65318996150997,"2"
-0.251058402845799,-0.842061647923596,-0.356835619803677,-0.295851167567107,1.13965286579312,-0.823313631777152,-0.14294241596341,-0.0885268447504976,-0.0949903248834593,-0.0575828205326538,-0.0441338832552883,-0.19902830962108,2.06215729336475,-1.51119798281291,-0.0503350805096177,-0.0139441401083007,-0.0139441401083002,-0.0698839810942583,-0.0462925167860896,0.826308696601949,-0.80253120289902,0.899005737846234,3.25288725905549,2.37743551199347,1.66432844127914,4.21504659484407,-0.111351530985477,-0.0970524042511897,-0.0418650000964487,4.65318996150997,"4"
-0.251058402845799,-0.842061647923596,-0.356835619803677,-0.295851167567107,1.13965286579312,-0.823313631777152,-0.14294241596341,-0.0885268447504976,-0.0949903248834593,-0.0575828205326538,-0.0441338832552883,-0.19902830962108,2.06215729336475,-1.51119798281291,-0.0503350805096177,-0.0139441401083007,-0.0139441401083002,-0.0698839810942583,-0.0462925167860896,0.826308696601949,-0.80253120289902,0.899005737846234,3.25288725905549,2.37743551199347,1.66432844127914,4.21504659484407,-0.111351530985477,-0.0970524042511897,-0.0418650000964487,4.65318996150997,"4"
-0.251058402845799,-0.842061647923596,-0.356835619803677,-0.295851167567107,1.13965286579312,-0.823313631777152,-0.14294241596341,-0.0885268447504976,-0.0949903248834593,-0.0575828205326538,-0.0441338832552883,-0.19902830962108,2.06215729336475,-1.51119798281291,-0.0503350805096177,-0.0139441401083007,-0.0139441401083002,-0.0698839810942583,-0.0462925167860896,0.826308696601949,-0.80253120289902,0.899005737846234,3.25288725905549,2.37743551199347,1.66432844127914,4.21504659484407,-0.111351530985477,10.3017083262461,-0.0418650000964487,4.65318996150997,"1"
-0.251058402845799,-0.842061647923596,-0.356835619803677,-0.295851167567107,-0.877289559800138,1.21436779662992,-0.14294241596341,-0.0885268447504976,-0.0949903248834593,-0.0575828205326538,-0.0441338832552883,-0.19902830962108,-0.484834771903,0.66159799862595,-0.0503350805096177,-0.0139441401083007,-0.0139441401083002,-0.0698839810942583,-0.0462925167860896,-1.20996616042911,1.24581518742836,0.899005737846234,3.25288725905549,2.37743551199347,1.66432844127914,-0.237199171695887,-0.111351530985477,-0.0970524042511897,-0.0418650000964487,4.65318996150997,"2"
-0.251058402845799,-0.842061647923596,-0.356835619803677,-0.295851167567107,-0.877289559800138,1.21436779662992,-0.14294241596341,-0.0885268447504976,-0.0949903248834593,-0.0575828205326538,-0.0441338832552883,-0.19902830962108,-0.484834771903,0.66159799862595,-0.0503350805096177,-0.0139441401083007,-0.0139441401083002,-0.0698839810942583,-0.0462925167860896,-1.20996616042911,1.24581518742836,0.899005737846234,3.25288725905549,2.37743551199347,1.66432844127914,-0.237199171695887,-0.111351530985477,-0.0970524042511897,-0.0418650000964487,-0.214864548670212,"2"
-0.251058402845799,-0.842061647923596,-0.356835619803677,-0.295851167567107,-0.877289559800138,1.21436779662992,-0.14294241596341,-0.0885268447504976,-0.0949903248834593,-0.0575828205326538,-0.0441338832552883,-0.19902830962108,-0.484834771903,0.66159799862595,-0.0503350805096177,-0.0139441401083007,-0.0139441401083002,-0.0698839810942583,-0.0462925167860896,-1.20996616042911,1.24581518742836,0.899005737846234,-0.307359426052487,-0.420539508185573,-0.600726116407712,-0.237199171695887,-0.111351530985477,-0.0970524042511897,-0.0418650000964487,-0.214864548670212,"2"
-0.251058402845799,-0.842061647923596,-0.356835619803677,-0.295851167567107,-0.877289559800138,1.21436779662992,-0.14294241596341,-0.0885268447504976,-0.0949903248834593,-0.0575828205326538,-0.0441338832552883,-0.19902830962108,-0.484834771903,0.66159799862595,-0.0503350805096177,-0.0139441401083007,-0.0139441401083002,-0.0698839810942583,-0.0462925167860896,-1.20996616042911,1.24581518742836,0.899005737846234,-0.307359426052487,-0.420539508185573,-0.600726116407712,4.21504659484407,-0.111351530985477,-0.0970524042511897,-0.0418650000964487,4.65318996150997,"2"
-0.251058402845799,-0.842061647923596,-0.356835619803677,-0.295851167567107,-0.877289559800138,1.21436779662992,-0.14294241596341,-0.0885268447504976,-0.0949903248834593,-0.0575828205326538,-0.0441338832552883,-0.19902830962108,-0.484834771903,0.66159799862595,-0.0503350805096177,-0.0139441401083007,-0.0139441401083002,-0.0698839810942583,-0.0462925167860896,-1.20996616042911,1.24581518742836,0.899005737846234,-0.307359426052487,-0.420539508185573,-0.600726116407712,-0.237199171695887,-0.111351530985477,-0.0970524042511897,-0.0418650000964487,-0.214864548670212,"2"
-0.251058402845799,-0.842061647923596,-0.356835619803677,-0.295851167567107,-0.877289559800138,1.21436779662992,-0.14294241596341,-0.0885268447504976,-0.0949903248834593,-0.0575828205326538,-0.0441338832552883,-0.19902830962108,-0.484834771903,0.66159799862595,-0.0503350805096177,-0.0139441401083007,-0.0139441401083002,-0.0698839810942583,-0.0462925167860896,-1.20996616042911,1.24581518742836,0.899005737846234,-0.307359426052487,-0.420539508185573,-0.600726116407712,-0.237199171695887,-0.111351530985477,-0.0970524042511897,-0.0418650000964487,-0.214864548670212,"2"
-0.251058402845799,-0.842061647923596,-0.356835619803677,-0.295851167567107,-0.877289559800138,1.21436779662992,-0.14294241596341,-0.0885268447504976,-0.0949903248834593,-0.0575828205326538,-0.0441338832552883,-0.19902830962108,-0.484834771903,0.66159799862595,-0.0503350805096177,-0.0139441401083007,-0.0139441401083002,-0.0698839810942583,-0.0462925167860896,-1.20996616042911,1.24581518742836,0.899005737846234,3.25288725905549,-0.420539508185573,1.66432844127914,-0.237199171695887,-0.111351530985477,-0.0970524042511897,-0.0418650000964487,4.65318996150997,"2"
-0.251058402845799,-0.842061647923596,-0.356835619803677,-0.295851167567107,-0.877289559800138,1.21436779662992,-0.14294241596341,-0.0885268447504976,-0.0949903248834593,-0.0575828205326538,-0.0441338832552883,-0.19902830962108,-0.484834771903,0.66159799862595,-0.0503350805096177,-0.0139441401083007,-0.0139441401083002,-0.0698839810942583,-0.0462925167860896,-1.20996616042911,1.24581518742836,0.899005737846234,-0.307359426052487,-0.420539508185573,-0.600726116407712,-0.237199171695887,-0.111351530985477,-0.0970524042511897,-0.0418650000964487,4.65318996150997,"2"
-0.251058402845799,-0.842061647923596,-0.356835619803677,-0.295851167567107,-0.877289559800138,1.21436779662992,-0.14294241596341,-0.0885268447504976,-0.0949903248834593,-0.0575828205326538,-0.0441338832552883,-0.19902830962108,-0.484834771903,0.66159799862595,-0.0503350805096177,-0.0139441401083007,-0.0139441401083002,-0.0698839810942583,-0.0462925167860896,-1.20996616042911,1.24581518742836,-1.11212367048051,-0.307359426052487,-0.420539508185573,-0.600726116407712,4.21504659484407,-0.111351530985477,-0.0970524042511897,-0.0418650000964487,-0.214864548670212,"2"
-0.251058402845799,-0.842061647923596,-0.356835619803677,-0.295851167567107,-0.877289559800138,1.21436779662992,-0.14294241596341,-0.0885268447504976,-0.0949903248834593,-0.0575828205326538,-0.0441338832552883,-0.19902830962108,-0.484834771903,0.66159799862595,-0.0503350805096177,-0.0139441401083007,-0.0139441401083002,-0.0698839810942583,-0.0462925167860896,-1.20996616042911,1.24581518742836,-1.11212367048051,-0.307359426052487,-0.420539508185573,-0.600726116407712,-0.237199171695887,-0.111351530985477,-0.0970524042511897,-0.0418650000964487,4.65318996150997,"2"
-0.251058402845799,-0.842061647923596,-0.356835619803677,-0.295851167567107,-0.877289559800138,1.21436779662992,-0.14294241596341,-0.0885268447504976,-0.0949903248834593,-0.0575828205326538,-0.0441338832552883,-0.19902830962108,-0.484834771903,0.66159799862595,-0.0503350805096177,-0.0139441401083007,-0.0139441401083002,-0.0698839810942583,-0.0462925167860896,-1.20996616042911,1.24581518742836,-1.11212367048051,-0.307359426052487,-0.420539508185573,-0.600726116407712,-0.237199171695887,-0.111351530985477,-0.0970524042511897,-0.0418650000964487,4.65318996150997,"2"
-0.251058402845799,-0.842061647923596,-0.356835619803677,-0.295851167567107,-0.877289559800138,1.21436779662992,-0.14294241596341,-0.0885268447504976,-0.0949903248834593,-0.0575828205326538,-0.0441338832552883,-0.19902830962108,-0.484834771903,0.66159799862595,-0.0503350805096177,-0.0139441401083007,-0.0139441401083002,-0.0698839810942583,-0.0462925167860896,-1.20996616042911,1.24581518742836,-1.11212367048051,-0.307359426052487,-0.420539508185573,-0.600726116407712,-0.237199171695887,-0.111351530985477,-0.0970524042511897,-0.0418650000964487,4.65318996150997,"2"
-0.251058402845799,-0.842061647923596,-0.356835619803677,-0.295851167567107,-0.877289559800138,1.21436779662992,-0.14294241596341,-0.0885268447504976,-0.0949903248834593,-0.0575828205326538,-0.0441338832552883,-0.19902830962108,-0.484834771903,0.66159799862595,-0.0503350805096177,-0.0139441401083007,-0.0139441401083002,-0.0698839810942583,-0.0462925167860896,-1.20996616042911,1.24581518742836,-1.11212367048051,-0.307359426052487,-0.420539508185573,-0.600726116407712,-0.237199171695887,-0.111351530985477,-0.0970524042511897,-0.0418650000964487,4.65318996150997,"2"
-0.251058402845799,-0.842061647923596,-0.356835619803677,-0.295851167567107,-0.877289559800138,1.21436779662992,-0.14294241596341,-0.0885268447504976,-0.0949903248834593,17.3629140029637,-0.0441338832552883,-0.19902830962108,-0.484834771903,-1.51119798281291,-0.0503350805096177,-0.0139441401083007,-0.0139441401083002,-0.0698839810942583,-0.0462925167860896,-1.20996616042911,1.24581518742836,-1.11212367048051,-0.307359426052487,-0.420539508185573,-0.600726116407712,-0.237199171695887,-0.111351530985477,-0.0970524042511897,-0.0418650000964487,4.65318996150997,"2"
-0.251058402845799,-0.842061647923596,-0.356835619803677,-0.295851167567107,-0.877289559800138,1.21436779662992,-0.14294241596341,-0.0885268447504976,-0.0949903248834593,-0.0575828205326538,-0.0441338832552883,-0.19902830962108,-0.484834771903,0.66159799862595,-0.0503350805096177,-0.0139441401083007,-0.0139441401083002,-0.0698839810942583,-0.0462925167860896,-1.20996616042911,1.24581518742836,-1.11212367048051,-0.307359426052487,-0.420539508185573,1.66432844127914,-0.237199171695887,-0.111351530985477,-0.0970524042511897,-0.0418650000964487,4.65318996150997,"2"
-0.251058402845799,-0.842061647923596,-0.356835619803677,-0.295851167567107,-0.877289559800138,1.21436779662992,-0.14294241596341,-0.0885268447504976,-0.0949903248834593,-0.0575828205326538,-0.0441338832552883,-0.19902830962108,-0.484834771903,0.66159799862595,-0.0503350805096177,-0.0139441401083007,-0.0139441401083002,-0.0698839810942583,-0.0462925167860896,-1.20996616042911,1.24581518742836,-1.11212367048051,-0.307359426052487,-0.420539508185573,-0.600726116407712,-0.237199171695887,-0.111351530985477,-0.0970524042511897,-0.0418650000964487,4.65318996150997,"2"
-0.251058402845799,-0.842061647923596,-0.356835619803677,-0.295851167567107,-0.877289559800138,1.21436779662992,-0.14294241596341,-0.0885268447504976,-0.0949903248834593,-0.0575828205326538,-0.0441338832552883,-0.19902830962108,-0.484834771903,0.66159799862595,-0.0503350805096177,-0.0139441401083007,-0.0139441401083002,-0.0698839810942583,-0.0462925167860896,-1.20996616042911,1.24581518742836,-1.11212367048051,-0.307359426052487,2.37743551199347,-0.600726116407712,-0.237199171695887,-0.111351530985477,-0.0970524042511897,-0.0418650000964487,4.65318996150997,"2"
-0.251058402845799,-0.842061647923596,-0.356835619803677,-0.295851167567107,-0.877289559800138,1.21436779662992,-0.14294241596341,-0.0885268447504976,-0.0949903248834593,-0.0575828205326538,-0.0441338832552883,-0.19902830962108,-0.484834771903,0.66159799862595,-0.0503350805096177,-0.0139441401083007,-0.0139441401083002,-0.0698839810942583,-0.0462925167860896,-1.20996616042911,1.24581518742836,-1.11212367048051,-0.307359426052487,2.37743551199347,-0.600726116407712,-0.237199171695887,-0.111351530985477,-0.0970524042511897,-0.0418650000964487,4.65318996150997,"2"
-0.251058402845799,-0.842061647923596,-0.356835619803677,-0.295851167567107,-0.877289559800138,-0.823313631777152,-0.14294241596341,-0.0885268447504976,-0.0949903248834593,-0.0575828205326538,-0.0441338832552883,-0.19902830962108,2.06215729336475,-1.51119798281291,-0.0503350805096177,-0.0139441401083007,-0.0139441401083002,-0.0698839810942583,-0.0462925167860896,0.826308696601949,-0.80253120289902,-1.11212367048051,-0.307359426052487,-0.420539508185573,-0.600726116407712,-0.237199171695887,-0.111351530985477,-0.0970524042511897,-0.0418650000964487,4.65318996150997,"4"
-0.251058402845799,-0.842061647923596,-0.356835619803677,-0.295851167567107,-0.877289559800138,1.21436779662992,-0.14294241596341,-0.0885268447504976,-0.0949903248834593,-0.0575828205326538,-0.0441338832552883,-0.19902830962108,-0.484834771903,0.66159799862595,-0.0503350805096177,-0.0139441401083007,-0.0139441401083002,-0.0698839810942583,-0.0462925167860896,-1.20996616042911,1.24581518742836,-1.11212367048051,-0.307359426052487,-0.420539508185573,-0.600726116407712,-0.237199171695887,-0.111351530985477,-0.0970524042511897,-0.0418650000964487,4.65318996150997,"2"
-0.251058402845799,-0.842061647923596,-0.356835619803677,-0.295851167567107,-0.877289559800138,1.21436779662992,-0.14294241596341,-0.0885268447504976,-0.0949903248834593,-0.0575828205326538,-0.0441338832552883,-0.19902830962108,-0.484834771903,0.66159799862595,-0.0503350805096177,-0.0139441401083007,-0.0139441401083002,-0.0698839810942583,-0.0462925167860896,-1.20996616042911,1.24581518742836,0.899005737846234,3.25288725905549,2.37743551199347,1.66432844127914,4.21504659484407,-0.111351530985477,-0.0970524042511897,-0.0418650000964487,4.65318996150997,"2"
-0.251058402845799,-0.842061647923596,-0.356835619803677,-0.295851167567107,-0.877289559800138,1.21436779662992,6.99446384908335,-0.0885268447504976,-0.0949903248834593,-0.0575828205326538,-0.0441338832552883,-0.19902830962108,-0.484834771903,-1.51119798281291,-0.0503350805096177,-0.0139441401083007,-0.0139441401083002,-0.0698839810942583,-0.0462925167860896,-1.20996616042911,1.24581518742836,-1.11212367048051,-0.307359426052487,-0.420539508185573,-0.600726116407712,-0.237199171695887,-0.111351530985477,-0.0970524042511897,-0.0418650000964487,4.65318996150997,"2"
-0.251058402845799,-0.842061647923596,2.80186591659961,-0.295851167567107,-0.877289559800138,1.21436779662992,-0.14294241596341,-0.0885268447504976,-0.0949903248834593,-0.0575828205326538,-0.0441338832552883,-0.19902830962108,-0.484834771903,-1.51119798281291,-0.0503350805096177,-0.0139441401083007,-0.0139441401083002,-0.0698839810942583,-0.0462925167860896,-1.20996616042911,1.24581518742836,-1.11212367048051,-0.307359426052487,2.37743551199347,-0.600726116407712,-0.237199171695887,-0.111351530985477,10.3017083262461,-0.0418650000964487,4.65318996150997,"1"
-0.251058402845799,-0.842061647923596,-0.356835619803677,-0.295851167567107,-0.877289559800138,1.21436779662992,-0.14294241596341,-0.0885268447504976,-0.0949903248834593,-0.0575828205326538,-0.0441338832552883,-0.19902830962108,-0.484834771903,0.66159799862595,-0.0503350805096177,-0.0139441401083007,-0.0139441401083002,-0.0698839810942583,-0.0462925167860896,-1.20996616042911,1.24581518742836,-1.11212367048051,-0.307359426052487,-0.420539508185573,-0.600726116407712,-0.237199171695887,-0.111351530985477,-0.0970524042511897,-0.0418650000964487,4.65318996150997,"2"
-0.251058402845799,-0.842061647923596,-0.356835619803677,-0.295851167567107,-0.877289559800138,1.21436779662992,-0.14294241596341,-0.0885268447504976,-0.0949903248834593,-0.0575828205326538,-0.0441338832552883,-0.19902830962108,-0.484834771903,0.66159799862595,-0.0503350805096177,-0.0139441401083007,-0.0139441401083002,-0.0698839810942583,-0.0462925167860896,-1.20996616042911,1.24581518742836,-1.11212367048051,-0.307359426052487,-0.420539508185573,-0.600726116407712,-0.237199171695887,-0.111351530985477,-0.0970524042511897,-0.0418650000964487,4.65318996150997,"2"
-0.251058402845799,-0.842061647923596,-0.356835619803677,-0.295851167567107,-0.877289559800138,1.21436779662992,-0.14294241596341,-0.0885268447504976,-0.0949903248834593,-0.0575828205326538,-0.0441338832552883,-0.19902830962108,-0.484834771903,0.66159799862595,-0.0503350805096177,-0.0139441401083007,-0.0139441401083002,-0.0698839810942583,-0.0462925167860896,-1.20996616042911,1.24581518742836,-1.11212367048051,-0.307359426052487,-0.420539508185573,-0.600726116407712,-0.237199171695887,-0.111351530985477,-0.0970524042511897,-0.0418650000964487,4.65318996150997,"2"
-0.251058402845799,-0.842061647923596,-0.356835619803677,-0.295851167567107,-0.877289559800138,1.21436779662992,-0.14294241596341,-0.0885268447504976,-0.0949903248834593,-0.0575828205326538,-0.0441338832552883,-0.19902830962108,-0.484834771903,0.66159799862595,-0.0503350805096177,-0.0139441401083007,-0.0139441401083002,-0.0698839810942583,-0.0462925167860896,-1.20996616042911,1.24581518742836,-1.11212367048051,-0.307359426052487,-0.420539508185573,-0.600726116407712,-0.237199171695887,-0.111351530985477,-0.0970524042511897,-0.0418650000964487,4.65318996150997,"2"
-0.251058402845799,-0.842061647923596,-0.356835619803677,-0.295851167567107,-0.877289559800138,1.21436779662992,-0.14294241596341,-0.0885268447504976,-0.0949903248834593,-0.0575828205326538,-0.0441338832552883,-0.19902830962108,-0.484834771903,0.66159799862595,-0.0503350805096177,-0.0139441401083007,-0.0139441401083002,-0.0698839810942583,-0.0462925167860896,-1.20996616042911,1.24581518742836,-1.11212367048051,-0.307359426052487,-0.420539508185573,-0.600726116407712,-0.237199171695887,-0.111351530985477,-0.0970524042511897,-0.0418650000964487,4.65318996150997,"2"
-0.251058402845799,-0.842061647923596,-0.356835619803677,-0.295851167567107,-0.877289559800138,1.21436779662992,-0.14294241596341,-0.0885268447504976,-0.0949903248834593,-0.0575828205326538,-0.0441338832552883,-0.19902830962108,-0.484834771903,0.66159799862595,-0.0503350805096177,-0.0139441401083007,-0.0139441401083002,-0.0698839810942583,-0.0462925167860896,-1.20996616042911,1.24581518742836,-1.11212367048051,-0.307359426052487,-0.420539508185573,-0.600726116407712,-0.237199171695887,-0.111351530985477,-0.0970524042511897,-0.0418650000964487,4.65318996150997,"2"
-0.251058402845799,-0.842061647923596,-0.356835619803677,-0.295851167567107,1.13965286579312,-0.823313631777152,-0.14294241596341,-0.0885268447504976,-0.0949903248834593,-0.0575828205326538,-0.0441338832552883,-0.19902830962108,-0.484834771903,0.66159799862595,-0.0503350805096177,-0.0139441401083007,-0.0139441401083002,-0.0698839810942583,-0.0462925167860896,0.826308696601949,-0.80253120289902,-1.11212367048051,-0.307359426052487,-0.420539508185573,-0.600726116407712,-0.237199171695887,-0.111351530985477,-0.0970524042511897,-0.0418650000964487,4.65318996150997,"3"
-0.251058402845799,1.1873305991575,-0.356835619803677,-0.295851167567107,1.13965286579312,-0.823313631777152,-0.14294241596341,-0.0885268447504976,-0.0949903248834593,-0.0575828205326538,-0.0441338832552883,-0.19902830962108,-0.484834771903,0.66159799862595,-0.0503350805096177,-0.0139441401083007,-0.0139441401083002,-0.0698839810942583,-0.0462925167860896,0.826308696601949,-0.80253120289902,-1.11212367048051,-0.307359426052487,-0.420539508185573,-0.600726116407712,-0.237199171695887,-0.111351530985477,-0.0970524042511897,-0.0418650000964487,4.65318996150997,"3"
-0.251058402845799,-0.842061647923596,-0.356835619803677,-0.295851167567107,-0.877289559800138,1.21436779662992,-0.14294241596341,-0.0885268447504976,-0.0949903248834593,-0.0575828205326538,-0.0441338832552883,-0.19902830962108,-0.484834771903,0.66159799862595,-0.0503350805096177,-0.0139441401083007,-0.0139441401083002,-0.0698839810942583,-0.0462925167860896,-1.20996616042911,1.24581518742836,-1.11212367048051,-0.307359426052487,2.37743551199347,-0.600726116407712,-0.237199171695887,-0.111351530985477,-0.0970524042511897,-0.0418650000964487,4.65318996150997,"2"
-0.251058402845799,-0.842061647923596,-0.356835619803677,-0.295851167567107,-0.877289559800138,-0.823313631777152,-0.14294241596341,-0.0885268447504976,-0.0949903248834593,-0.0575828205326538,-0.0441338832552883,-0.19902830962108,2.06215729336475,-1.51119798281291,-0.0503350805096177,-0.0139441401083007,-0.0139441401083002,-0.0698839810942583,-0.0462925167860896,0.826308696601949,-0.80253120289902,-1.11212367048051,-0.307359426052487,-0.420539508185573,-0.600726116407712,-0.237199171695887,-0.111351530985477,-0.0970524042511897,-0.0418650000964487,4.65318996150997,"4"
-0.251058402845799,-0.842061647923596,-0.356835619803677,-0.295851167567107,-0.877289559800138,1.21436779662992,-0.14294241596341,-0.0885268447504976,-0.0949903248834593,-0.0575828205326538,-0.0441338832552883,-0.19902830962108,-0.484834771903,0.66159799862595,-0.0503350805096177,-0.0139441401083007,-0.0139441401083002,-0.0698839810942583,-0.0462925167860896,-1.20996616042911,1.24581518742836,-1.11212367048051,-0.307359426052487,2.37743551199347,1.66432844127914,4.21504659484407,-0.111351530985477,-0.0970524042511897,-0.0418650000964487,4.65318996150997,"2"
-0.251058402845799,-0.842061647923596,-0.356835619803677,-0.295851167567107,-0.877289559800138,1.21436779662992,6.99446384908335,-0.0885268447504976,-0.0949903248834593,-0.0575828205326538,-0.0441338832552883,-0.19902830962108,-0.484834771903,-1.51119798281291,-0.0503350805096177,-0.0139441401083007,-0.0139441401083002,-0.0698839810942583,-0.0462925167860896,-1.20996616042911,1.24581518742836,-1.11212367048051,-0.307359426052487,2.37743551199347,1.66432844127914,-0.237199171695887,-0.111351530985477,-0.0970524042511897,-0.0418650000964487,4.65318996150997,"2"
-0.251058402845799,-0.842061647923596,-0.356835619803677,-0.295851167567107,-0.877289559800138,1.21436779662992,-0.14294241596341,-0.0885268447504976,-0.0949903248834593,-0.0575828205326538,-0.0441338832552883,-0.19902830962108,-0.484834771903,0.66159799862595,-0.0503350805096177,-0.0139441401083007,-0.0139441401083002,-0.0698839810942583,-0.0462925167860896,-1.20996616042911,1.24581518742836,-1.11212367048051,3.25288725905549,2.37743551199347,1.66432844127914,-0.237199171695887,-0.111351530985477,-0.0970524042511897,-0.0418650000964487,4.65318996150997,"2"
-0.251058402845799,-0.842061647923596,-0.356835619803677,-0.295851167567107,-0.877289559800138,1.21436779662992,6.99446384908335,-0.0885268447504976,-0.0949903248834593,-0.0575828205326538,-0.0441338832552883,-0.19902830962108,-0.484834771903,-1.51119798281291,-0.0503350805096177,-0.0139441401083007,-0.0139441401083002,-0.0698839810942583,-0.0462925167860896,-1.20996616042911,1.24581518742836,-1.11212367048051,-0.307359426052487,2.37743551199347,1.66432844127914,-0.237199171695887,-0.111351530985477,-0.0970524042511897,-0.0418650000964487,4.65318996150997,"2"
-0.251058402845799,-0.842061647923596,-0.356835619803677,-0.295851167567107,-0.877289559800138,1.21436779662992,-0.14294241596341,-0.0885268447504976,-0.0949903248834593,-0.0575828205326538,-0.0441338832552883,-0.19902830962108,-0.484834771903,0.66159799862595,-0.0503350805096177,-0.0139441401083007,-0.0139441401083002,-0.0698839810942583,-0.0462925167860896,-1.20996616042911,1.24581518742836,-1.11212367048051,-0.307359426052487,2.37743551199347,-0.600726116407712,-0.237199171695887,-0.111351530985477,-0.0970524042511897,-0.0418650000964487,-0.214864548670212,"2"
-0.251058402845799,-0.842061647923596,-0.356835619803677,3.37942070392476,-0.877289559800138,-0.823313631777152,-0.14294241596341,11.2938122190447,-0.0949903248834593,-0.0575828205326538,-0.0441338832552883,-0.19902830962108,-0.484834771903,-1.51119798281291,-0.0503350805096177,-0.0139441401083007,-0.0139441401083002,-0.0698839810942583,-0.0462925167860896,0.826308696601949,-0.80253120289902,-1.11212367048051,-0.307359426052487,2.37743551199347,-0.600726116407712,-0.237199171695887,-0.111351530985477,-0.0970524042511897,-0.0418650000964487,-0.214864548670212,"4"
-0.251058402845799,-0.842061647923596,-0.356835619803677,-0.295851167567107,-0.877289559800138,1.21436779662992,-0.14294241596341,-0.0885268447504976,-0.0949903248834593,-0.0575828205326538,-0.0441338832552883,-0.19902830962108,-0.484834771903,0.66159799862595,-0.0503350805096177,-0.0139441401083007,-0.0139441401083002,-0.0698839810942583,-0.0462925167860896,-1.20996616042911,1.24581518742836,-1.11212367048051,-0.307359426052487,2.37743551199347,-0.600726116407712,-0.237199171695887,-0.111351530985477,-0.0970524042511897,-0.0418650000964487,-0.214864548670212,"2"
-0.251058402845799,-0.842061647923596,-0.356835619803677,-0.295851167567107,-0.877289559800138,1.21436779662992,-0.14294241596341,-0.0885268447504976,-0.0949903248834593,-0.0575828205326538,-0.0441338832552883,-0.19902830962108,-0.484834771903,0.66159799862595,-0.0503350805096177,-0.0139441401083007,-0.0139441401083002,-0.0698839810942583,-0.0462925167860896,-1.20996616042911,1.24581518742836,-1.11212367048051,-0.307359426052487,2.37743551199347,-0.600726116407712,-0.237199171695887,-0.111351530985477,-0.0970524042511897,-0.0418650000964487,-0.214864548670212,"2"
-0.251058402845799,-0.842061647923596,-0.356835619803677,-0.295851167567107,-0.877289559800138,1.21436779662992,-0.14294241596341,-0.0885268447504976,-0.0949903248834593,-0.0575828205326538,-0.0441338832552883,-0.19902830962108,-0.484834771903,0.66159799862595,-0.0503350805096177,-0.0139441401083007,-0.0139441401083002,-0.0698839810942583,-0.0462925167860896,-1.20996616042911,1.24581518742836,-1.11212367048051,-0.307359426052487,2.37743551199347,-0.600726116407712,-0.237199171695887,-0.111351530985477,-0.0970524042511897,-0.0418650000964487,-0.214864548670212,"2"
-0.251058402845799,-0.842061647923596,-0.356835619803677,-0.295851167567107,-0.877289559800138,1.21436779662992,-0.14294241596341,-0.0885268447504976,-0.0949903248834593,-0.0575828205326538,-0.0441338832552883,-0.19902830962108,-0.484834771903,0.66159799862595,-0.0503350805096177,-0.0139441401083007,-0.0139441401083002,-0.0698839810942583,-0.0462925167860896,-1.20996616042911,1.24581518742836,-1.11212367048051,-0.307359426052487,2.37743551199347,-0.600726116407712,-0.237199171695887,-0.111351530985477,-0.0970524042511897,-0.0418650000964487,-0.214864548670212,"2"
-0.251058402845799,-0.842061647923596,-0.356835619803677,-0.295851167567107,-0.877289559800138,1.21436779662992,-0.14294241596341,-0.0885268447504976,-0.0949903248834593,-0.0575828205326538,-0.0441338832552883,-0.19902830962108,-0.484834771903,0.66159799862595,-0.0503350805096177,-0.0139441401083007,-0.0139441401083002,-0.0698839810942583,-0.0462925167860896,-1.20996616042911,1.24581518742836,-1.11212367048051,-0.307359426052487,2.37743551199347,1.66432844127914,-0.237199171695887,-0.111351530985477,-0.0970524042511897,-0.0418650000964487,-0.214864548670212,"2"
